codigo_municipio,uf,nome_municipio,municipio_uf,,,,,,,,,,,,,,
1507508,Pará,São João do Araguaia,São João do Araguaia - Pará,,,,,,,,,,,,,,
1507607,Pará,São Miguel do Guamá,São Miguel do Guamá - Pará,,,,,,,,,,,,,,
1507706,Pará,São Sebastião da Boa Vista,São Sebastião da Boa Vista - Pará,,,,,,,,,,,,,,
1507755,Pará,Sapucaia,Sapucaia - Pará,,,,,,,,,,,,,,
1507805,Pará,Senador José Porfírio,Senador José Porfírio - Pará,,,,,,,,,,,,,,
1507904,Pará,Soure,Soure - Pará,,,,,,,,,,,,,,
1507953,Pará,Tailândia,Tailândia - Pará,,,,,,,,,,,,,,
1507961,Pará,Terra Alta,Terra Alta - Pará,,,,,,,,,,,,,,
1507979,Pará,Terra Santa,Terra Santa - Pará,,,,,,,,,,,,,,
1508001,Pará,Tomé-Açu,Tomé-Açu - Pará,,,,,,,,,,,,,,
1508035,Pará,Tracuateua,Tracuateua - Pará,,,,,,,,,,,,,,
1508050,Pará,Trairão,Trairão - Pará,,,,,,,,,,,,,,
1508084,Pará,Tucumã,Tucumã - Pará,,,,,,,,,,,,,,
1508100,Pará,Tucuruí,Tucuruí - Pará,,,,,,,,,,,,,,
1508126,Pará,Ulianópolis,Ulianópolis - Pará,,,,,,,,,,,,,,
1508159,Pará,Uruará,Uruará - Pará,,,,,,,,,,,,,,
1508209,Pará,Vigia,Vigia - Pará,,,,,,,,,,,,,,
1508308,Pará,Viseu,Viseu - Pará,,,,,,,,,,,,,,
1508357,Pará,Vitória do Xingu,Vitória do Xingu - Pará,,,,,,,,,,,,,,
1508407,Pará,Xinguara,Xinguara - Pará,,,,,,,,,,,,,,
1600105,Amapá,Amapá,Amapá - Amapá,,,,,,,,,,,,,,
1600204,Amapá,Calçoene,Calçoene - Amapá,,,,,,,,,,,,,,
1600212,Amapá,Cutias,Cutias - Amapá,,,,,,,,,,,,,,
1600238,Amapá,Ferreira Gomes,Ferreira Gomes - Amapá,,,,,,,,,,,,,,
1600253,Amapá,Itaubal,Itaubal - Amapá,,,,,,,,,,,,,,
1600279,Amapá,Laranjal do Jari,Laranjal do Jari - Amapá,,,,,,,,,,,,,,
1600303,Amapá,Macapá,Macapá - Amapá,,,,,,,,,,,,,,
1600402,Amapá,Mazagão,Mazagão - Amapá,,,,,,,,,,,,,,
1600501,Amapá,Oiapoque,Oiapoque - Amapá,,,,,,,,,,,,,,
1600154,Amapá,Pedra Branca do Amapari,Pedra Branca do Amapari - Amapá,,,,,,,,,,,,,,
1600535,Amapá,Porto Grande,Porto Grande - Amapá,,,,,,,,,,,,,,
1600550,Amapá,Pracuúba,Pracuúba - Amapá,,,,,,,,,,,,,,
1600600,Amapá,Santana,Santana - Amapá,,,,,,,,,,,,,,
1600055,Amapá,Serra do Navio,Serra do Navio - Amapá,,,,,,,,,,,,,,
1600709,Amapá,Tartarugalzinho,Tartarugalzinho - Amapá,,,,,,,,,,,,,,
